project,num_downloads,week
anndata,27432,2024-07-08
cell2location,181,2024-07-08
mofapy2,155,2024-07-08
mudata,6899,2024-07-08
muon,607,2024-07-08
spatialdata,2070,2024-07-08
anndata,45066,2024-07-01
cell2location,443,2024-07-01
mofapy2,382,2024-07-01
mudata,9793,2024-07-01
muon,1396,2024-07-01
spatialdata,5720,2024-07-01
anndata,49726,2024-06-24
cell2location,470,2024-06-24
mofapy2,684,2024-06-24
mudata,11692,2024-06-24
muon,1768,2024-06-24
spatialdata,4815,2024-06-24
anndata,51987,2024-06-17
cell2location,458,2024-06-17
mofapy2,1281,2024-06-17
mudata,10891,2024-06-17
muon,1883,2024-06-17
spatialdata,5723,2024-06-17
anndata,46355,2024-06-10
cell2location,474,2024-06-10
mofapy2,1100,2024-06-10
mudata,9301,2024-06-10
muon,2199,2024-06-10
spatialdata,6281,2024-06-10
anndata,43592,2024-06-03
cell2location,330,2024-06-03
mofapy2,480,2024-06-03
mudata,8293,2024-06-03
muon,1422,2024-06-03
spatialdata,5138,2024-06-03
anndata,43810,2024-05-27
cell2location,362,2024-05-27
mofapy2,330,2024-05-27
mudata,9478,2024-05-27
muon,1314,2024-05-27
spatialdata,5387,2024-05-27
anndata,45831,2024-05-20
cell2location,332,2024-05-20
mofapy2,340,2024-05-20
mudata,7961,2024-05-20
muon,1485,2024-05-20
spatialdata,4538,2024-05-20
anndata,47685,2024-05-13
cell2location,415,2024-05-13
mofapy2,525,2024-05-13
mudata,8121,2024-05-13
muon,1219,2024-05-13
spatialdata,4305,2024-05-13
anndata,44631,2024-05-06
cell2location,505,2024-05-06
mofapy2,655,2024-05-06
mudata,8501,2024-05-06
muon,1114,2024-05-06
spatialdata,3791,2024-05-06
anndata,43745,2024-04-29
cell2location,418,2024-04-29
mofapy2,931,2024-04-29
mudata,9128,2024-04-29
muon,1673,2024-04-29
spatialdata,4110,2024-04-29
anndata,50767,2024-04-22
cell2location,779,2024-04-22
mofapy2,2193,2024-04-22
mudata,12797,2024-04-22
muon,3340,2024-04-22
spatialdata,6967,2024-04-22
anndata,46294,2024-04-15
cell2location,439,2024-04-15
mofapy2,992,2024-04-15
mudata,9539,2024-04-15
muon,1883,2024-04-15
spatialdata,4447,2024-04-15
anndata,49194,2024-04-08
cell2location,389,2024-04-08
mofapy2,926,2024-04-08
mudata,9081,2024-04-08
muon,2088,2024-04-08
spatialdata,4809,2024-04-08
anndata,41876,2024-04-01
cell2location,307,2024-04-01
mofapy2,392,2024-04-01
mudata,8001,2024-04-01
muon,1109,2024-04-01
spatialdata,3309,2024-04-01
anndata,42228,2024-03-25
cell2location,355,2024-03-25
mofapy2,629,2024-03-25
mudata,8012,2024-03-25
muon,1449,2024-03-25
spatialdata,3852,2024-03-25
anndata,40649,2024-03-18
cell2location,484,2024-03-18
mofapy2,703,2024-03-18
mudata,8805,2024-03-18
muon,1565,2024-03-18
spatialdata,3272,2024-03-18
anndata,43683,2024-03-11
cell2location,621,2024-03-11
mofapy2,797,2024-03-11
mudata,12447,2024-03-11
muon,1721,2024-03-11
spatialdata,2381,2024-03-11
anndata,34643,2024-03-04
cell2location,453,2024-03-04
mofapy2,683,2024-03-04
mudata,9417,2024-03-04
muon,1280,2024-03-04
spatialdata,1803,2024-03-04
anndata,35525,2024-02-26
cell2location,452,2024-02-26
mofapy2,718,2024-02-26
mudata,8935,2024-02-26
muon,1433,2024-02-26
spatialdata,2810,2024-02-26
anndata,33866,2024-02-19
cell2location,480,2024-02-19
mofapy2,474,2024-02-19
mudata,8157,2024-02-19
muon,1497,2024-02-19
spatialdata,3182,2024-02-19
anndata,36905,2024-02-12
cell2location,598,2024-02-12
mofapy2,296,2024-02-12
mudata,11193,2024-02-12
muon,1444,2024-02-12
spatialdata,3591,2024-02-12
anndata,35349,2024-02-05
cell2location,304,2024-02-05
mofapy2,413,2024-02-05
mudata,8270,2024-02-05
muon,1203,2024-02-05
spatialdata,2250,2024-02-05
anndata,37310,2024-01-29
cell2location,189,2024-01-29
mofapy2,272,2024-01-29
mudata,9516,2024-01-29
muon,1147,2024-01-29
spatialdata,1685,2024-01-29
anndata,37237,2024-01-22
cell2location,189,2024-01-22
mofapy2,297,2024-01-22
mudata,11345,2024-01-22
muon,1416,2024-01-22
spatialdata,1733,2024-01-22
anndata,31520,2024-01-15
cell2location,184,2024-01-15
mofapy2,191,2024-01-15
mudata,9365,2024-01-15
muon,1038,2024-01-15
spatialdata,1005,2024-01-15
anndata,32439,2024-01-08
cell2location,169,2024-01-08
mofapy2,193,2024-01-08
mudata,8546,2024-01-08
