"","start","end","Nb_of_distinct_IPs","Nb_of_downloads","package"
"1",2022-03-01,2022-03-31,22,41,"MuData"
"2",2022-04-01,2022-04-30,18,22,"MuData"
"3",2022-05-01,2022-05-31,43,55,"MuData"
"4",2022-06-01,2022-06-30,24,27,"MuData"
"5",2022-07-01,2022-07-31,40,67,"MuData"
"6",2022-08-01,2022-08-31,19,30,"MuData"
"7",2022-09-01,2022-09-30,32,56,"MuData"
"8",2022-10-01,2022-10-31,29,59,"MuData"
"9",2022-11-01,2022-11-30,39,64,"MuData"
"10",2022-12-01,2022-12-31,26,38,"MuData"
"11",2023-01-01,2023-01-31,31,53,"MuData"
"12",2023-02-01,2023-02-28,26,62,"MuData"
"13",2023-03-01,2023-03-31,31,46,"MuData"
"14",2023-04-01,2023-04-30,41,75,"MuData"
"15",2023-05-01,2023-05-31,66,82,"MuData"
"16",2023-06-01,2023-06-30,32,52,"MuData"
"17",2023-07-01,2023-07-31,39,60,"MuData"
"18",2023-08-01,2023-08-31,58,77,"MuData"
"19",2023-09-01,2023-09-30,32,47,"MuData"
"20",2023-10-01,2023-10-31,34,64,"MuData"
"21",2023-11-01,2023-11-30,52,71,"MuData"
"22",2023-12-01,2023-12-31,33,71,"MuData"
"23",2024-01-01,2024-01-31,57,132,"MuData"
"24",2024-02-01,2024-02-29,51,74,"MuData"
"25",2024-03-01,2024-03-31,96,128,"MuData"
"26",2024-04-01,2024-04-30,93,358,"MuData"
"27",2024-05-01,2024-05-31,98,394,"MuData"
"28",2024-06-01,2024-06-30,57,574,"MuData"
"29",2019-04-01,2019-04-30,10,18,"MOFA"
"30",2019-05-01,2019-05-31,77,173,"MOFA"
"31",2019-06-01,2019-06-30,84,199,"MOFA"
"32",2019-07-01,2019-07-31,88,172,"MOFA"
"33",2019-08-01,2019-08-31,59,113,"MOFA"
"34",2019-09-01,2019-09-30,100,185,"MOFA"
"35",2019-10-01,2019-10-31,100,151,"MOFA"
"36",2019-11-01,2019-11-30,116,195,"MOFA"
"37",2019-12-01,2019-12-31,113,227,"MOFA"
"38",2020-01-01,2020-01-31,126,229,"MOFA"
"39",2020-02-01,2020-02-29,105,219,"MOFA"
"40",2020-03-01,2020-03-31,120,239,"MOFA"
"41",2020-04-01,2020-04-30,209,605,"MOFA"
"42",2020-05-01,2020-05-31,151,340,"MOFA"
"43",2020-06-01,2020-06-30,166,395,"MOFA"
"44",2020-07-01,2020-07-31,110,206,"MOFA"
"45",2020-08-01,2020-08-31,107,241,"MOFA"
"46",2020-09-01,2020-09-30,112,247,"MOFA"
"47",2020-10-01,2020-10-31,156,280,"MOFA"
"48",2020-11-01,2020-11-30,158,302,"MOFA"
"49",2020-12-01,2020-12-31,118,201,"MOFA"
"50",2021-01-01,2021-01-31,108,196,"MOFA"
"51",2021-02-01,2021-02-28,134,244,"MOFA"
"52",2021-03-01,2021-03-31,155,240,"MOFA"
"53",2021-04-01,2021-04-30,161,251,"MOFA"
"54",2021-05-01,2021-05-31,124,190,"MOFA"
"55",2021-06-01,2021-06-30,53,87,"MOFA"
"56",2021-07-01,2021-07-31,28,35,"MOFA"
"57",2021-08-01,2021-08-31,21,38,"MOFA"
"58",2021-09-01,2021-09-30,17,27,"MOFA"
"59",2021-10-01,2021-10-31,27,34,"MOFA"
"60",2021-11-01,2021-11-30,18,21,"MOFA"
"61",2021-12-01,2021-12-31,17,17,"MOFA"
"62",2022-01-01,2022-01-31,17,18,"MOFA"
"63",2022-02-01,2022-02-28,20,35,"MOFA"
"64",2022-03-01,2022-03-31,9,10,"MOFA"
"65",2022-04-01,2022-04-30,26,32,"MOFA"
"66",2022-05-01,2022-05-31,17,21,"MOFA"
"67",2022-06-01,2022-06-30,9,10,"MOFA"
"68",2022-07-01,2022-07-31,12,18,"MOFA"
"69",2022-08-01,2022-08-31,7,8,"MOFA"
"70",2022-09-01,2022-09-30,11,17,"MOFA"
"71",2022-10-01,2022-10-31,10,29,"MOFA"
"72",2022-11-01,2022-11-30,4,8,"MOFA"
"73",2022-12-01,2022-12-31,8,17,"MOFA"
"74",2023-01-01,2023-01-31,5,10,"MOFA"
"75",2023-02-01,2023-02-28,7,9,"MOFA"
"76",2023-03-01,2023-03-31,5,7,"MOFA"
"77",2023-04-01,2023-04-30,1,1,"MOFA"
"78",2023-05-01,2023-05-31,8,10,"MOFA"
"79",2023-06-01,2023-06-30,3,6,"MOFA"
"80",2023-07-01,2023-07-31,9,20,"MOFA"
"81",2023-08-01,2023-08-31,2,19,"MOFA"
"82",2023-09-01,2023-09-30,3,5,"MOFA"
"83",2023-10-01,2023-10-31,8,18,"MOFA"
"84",2023-11-01,2023-11-30,2,5,"MOFA"
"85",2023-12-01,2023-12-31,4,4,"MOFA"
"86",2024-01-01,2024-01-31,14,24,"MOFA"
"87",2024-02-01,2024-02-29,4,5,"MOFA"
"88",2024-03-01,2024-03-31,9,18,"MOFA"
"89",2024-04-01,2024-04-30,8,10,"MOFA"
"90",2024-05-01,2024-05-31,4,11,"MOFA"
"91",2024-06-01,2024-06-30,6,14,"MOFA"
"92",2020-10-01,2020-10-31,20,23,"MOFA2"
"93",2020-11-01,2020-11-30,76,148,"MOFA2"
"94",2020-12-01,2020-12-31,72,162,"MOFA2"
"95",2021-01-01,2021-01-31,116,237,"MOFA2"
"96",2021-02-01,2021-02-28,215,392,"MOFA2"
"97",2021-03-01,2021-03-31,172,296,"MOFA2"
"98",2021-04-01,2021-04-30,155,326,"MOFA2"
"99",2021-05-01,2021-05-31,246,401,"MOFA2"
"100",2021-06-01,2021-06-30,196,322,"MOFA2"
"101",2021-07-01,2021-07-31,192,299,"MOFA2"
"102",2021-08-01,2021-08-31,176,273,"MOFA2"
"103",2021-09-01,2021-09-30,253,431,"MOFA2"
"104",2021-10-01,2021-10-31,235,422,"MOFA2"
"105",2021-11-01,2021-11-30,241,433,"MOFA2"
"106",2021-12-01,2021-12-31,227,419,"MOFA2"
"107",2022-01-01,2022-01-31,222,436,"MOFA2"
"108",2022-02-01,2022-02-28,243,455,"MOFA2"
"109",2022-03-01,2022-03-31,421,632,"MOFA2"
"110",2022-04-01,2022-04-30,333,563,"MOFA2"
"111",2022-05-01,2022-05-31,327,578,"MOFA2"
"112",2022-06-01,2022-06-30,240,403,"MOFA2"
"113",2022-07-01,2022-07-31,254,468,"MOFA2"
"114",2022-08-01,2022-08-31,234,390,"MOFA2"
"115",2022-09-01,2022-09-30,238,406,"MOFA2"
"116",2022-10-01,2022-10-31,252,527,"MOFA2"
"117",2022-11-01,2022-11-30,380,687,"MOFA2"
"118",2022-12-01,2022-12-31,190,568,"MOFA2"
"119",2023-01-01,2023-01-31,298,739,"MOFA2"
"120",2023-02-01,2023-02-28,295,644,"MOFA2"
"121",2023-03-01,2023-03-31,404,713,"MOFA2"
"122",2023-04-01,2023-04-30,408,712,"MOFA2"
"123",2023-05-01,2023-05-31,402,744,"MOFA2"
"124",2023-06-01,2023-06-30,370,687,"MOFA2"
"125",2023-07-01,2023-07-31,338,554,"MOFA2"
"126",2023-08-01,2023-08-31,326,541,"MOFA2"
"127",2023-09-01,2023-09-30,405,706,"MOFA2"
"128",2023-10-01,2023-10-31,428,701,"MOFA2"
"129",2023-11-01,2023-11-30,564,925,"MOFA2"
"130",2023-12-01,2023-12-31,358,598,"MOFA2"
