project,num_downloads,month
anndata,243723,2024-09-01
mudata,71818,2024-09-01
muon,6746,2024-09-01
napari-spatialdata,2911,2024-09-01
rapids-singlecell,2171,2024-09-01
scanpy,149173,2024-09-01
scirpy,4476,2024-09-01
scvi-tools,27347,2024-09-01
spatialdata,16304,2024-09-01
spatialdata-io,3003,2024-09-01
spatialdata-plot,2528,2024-09-01
squidpy,10525,2024-09-01
anndata,245029,2024-08-01
mudata,88995,2024-08-01
muon,7883,2024-08-01
napari-spatialdata,4609,2024-08-01
rapids-singlecell,2251,2024-08-01
scanpy,156023,2024-08-01
scirpy,3743,2024-08-01
scvi-tools,28804,2024-08-01
spatialdata,15904,2024-08-01
spatialdata-io,3683,2024-08-01
spatialdata-plot,4485,2024-08-01
squidpy,8416,2024-08-01
anndata,242589,2024-07-01
mudata,60703,2024-07-01
muon,6329,2024-07-01
napari-spatialdata,3924,2024-07-01
rapids-singlecell,2878,2024-07-01
scanpy,160688,2024-07-01
scirpy,4834,2024-07-01
scvi-tools,24724,2024-07-01
spatialdata,21066,2024-07-01
spatialdata-io,3007,2024-07-01
spatialdata-plot,2874,2024-07-01
squidpy,8219,2024-07-01
anndata,197161,2024-06-01
mudata,41526,2024-06-01
muon,7477,2024-06-01
napari-spatialdata,2389,2024-06-01
rapids-singlecell,2295,2024-06-01
scanpy,137069,2024-06-01
scirpy,3664,2024-06-01
scvi-tools,22158,2024-06-01
spatialdata,22884,2024-06-01
spatialdata-io,1440,2024-06-01
spatialdata-plot,1974,2024-06-01
squidpy,8142,2024-06-01
anndata,203902,2024-05-01
mudata,38077,2024-05-01
muon,5613,2024-05-01
napari-spatialdata,2500,2024-05-01
rapids-singlecell,2270,2024-05-01
scanpy,152464,2024-05-01
scirpy,3927,2024-05-01
scvi-tools,22603,2024-05-01
spatialdata,19576,2024-05-01
spatialdata-io,1618,2024-05-01
spatialdata-plot,2026,2024-05-01
squidpy,7418,2024-05-01
anndata,204430,2024-04-01
mudata,43181,2024-04-01
muon,9407,2024-04-01
napari-spatialdata,2530,2024-04-01
rapids-singlecell,2826,2024-04-01
scanpy,160403,2024-04-01
scirpy,7466,2024-04-01
scvi-tools,27858,2024-04-01
spatialdata,21160,2024-04-01
spatialdata-io,1834,2024-04-01
spatialdata-plot,1486,2024-04-01
squidpy,8160,2024-04-01
anndata,171476,2024-03-01
mudata,41448,2024-03-01
muon,6368,2024-03-01
napari-spatialdata,2465,2024-03-01
rapids-singlecell,1622,2024-03-01
scanpy,121947,2024-03-01
scirpy,7972,2024-03-01
scvi-tools,28827,2024-03-01
spatialdata,12047,2024-03-01
spatialdata-io,1653,2024-03-01
spatialdata-plot,1372,2024-03-01
squidpy,8703,2024-03-01
anndata,149003,2024-02-01
mudata,38513,2024-02-01
muon,5807,2024-02-01
napari-spatialdata,2082,2024-02-01
rapids-singlecell,1415,2024-02-01
scanpy,103909,2024-02-01
scirpy,5477,2024-02-01
scvi-tools,26501,2024-02-01
spatialdata,11789,2024-02-01
spatialdata-io,913,2024-02-01
spatialdata-plot,1085,2024-02-01
squidpy,8534,2024-02-01
anndata,144641,2024-01-01
mudata,42000,2024-01-01
muon,4670,2024-01-01
napari-spatialdata,2555,2024-01-01
rapids-singlecell,1454,2024-01-01
scanpy,98948,2024-01-01
scirpy,4191,2024-01-01
scvi-tools,25559,2024-01-01
spatialdata,5858,2024-01-01
spatialdata-io,811,2024-01-01
spatialdata-plot,1110,2024-01-01
squidpy,5151,2024-01-01
anndata,121915,2023-12-01
mudata,34797,2023-12-01
muon,4074,2023-12-01
napari-spatialdata,4495,2023-12-01
rapids-singlecell,1156,2023-12-01
scanpy,90627,2023-12-01
scirpy,3131,2023-12-01
scvi-tools,20136,2023-12-01
spatialdata,4580,2023-12-01
spatialdata-io,854,2023-12-01
spatialdata-plot,830,2023-12-01
squidpy,3764,2023-12-01
anndata,136038,2023-11-01
mudata,28465,2023-11-01
muon,4594,2023-11-01
napari-spatialdata,4950,2023-11-01
rapids-singlecell,1328,2023-11-01
scanpy,98252,2023-11-01
scirpy,3640,2023-11-01
scvi-tools,17909,2023-11-01
spatialdata,5393,2023-11-01
spatialdata-io,876,2023-11-01
spatialdata-plot,931,2023-11-01
squidpy,4608,2023-11-01
anndata,141656,2023-10-01
mudata,34124,2023-10-01
muon,4578,2023-10-01
napari-spatialdata,4997,2023-10-01
rapids-singlecell,1293,2023-10-01
scanpy,88371,2023-10-01
scirpy,2406,2023-10-01
scvi-tools,16843,2023-10-01
spatialdata,6089,2023-10-01
spatialdata-io,649,2023-10-01
spatialdata-plot,642,2023-10-01
squidpy,4047,2023-10-01
anndata,103147,2023-09-01
mudata,22024,2023-09-01
muon,3882,2023-09-01
napari-spatialdata,4297,2023-09-01
rapids-singlecell,1133,2023-09-01
scanpy,77309,2023-09-01
scirpy,1986,2023-09-01
scvi-tools,12364,2023-09-01
spatialdata,3830,2023-09-01
spatialdata-io,447,2023-09-01
spatialdata-plot,492,2023-09-01
squidpy,3387,2023-09-01
anndata,116130,2023-08-01
mudata,20047,2023-08-01
muon,4834,2023-08-01
napari-spatialdata,4530,2023-08-01
rapids-singlecell,1573,2023-08-01
scanpy,62548,2023-08-01
